Id_hecho,Rol,Víctima,Sexo,Edad,Días_de_muerte_post_accidente
2016-0001,Conductor,Moto,Masculino,19,0.0
2016-0002,Conductor,Auto,Masculino,70,0.0
2016-0003,Conductor,Moto,Masculino,30,0.0
2016-0004,Conductor,Moto,Masculino,18,Sd
2016-0005,Conductor,Moto,Masculino,29,11.0
2016-0008,Conductor,Moto,Masculino,30,0.0
2016-0009,Pasajero_acompañante,Moto,Masculino,29,2.0
2016-0010,Conductor,Moto,Masculino,18,0.0
2016-0012,Conductor,Moto,Masculino,22,0.0
2016-0013,Peaton,Peaton,Masculino,16,0.0
2016-0015,Peaton,Peaton,Femenino,16,0.0
2016-0016,Pasajero_acompañante,Moto,Femenino,19,0.0
2016-0017,Peaton,Peaton,Masculino,59,1.0
2016-0019,Peaton,Peaton,Femenino,65,0.0
2016-0020,Peaton,Peaton,Masculino,59,14.0
2016-0021,Conductor,Auto,Masculino,34,0.0
2016-0022,Pasajero_acompañante,Moto,Masculino,41,Sd
2016-0025,Pasajero_acompañante,Auto,Masculino,34,0.0
2016-0026,Conductor,Auto,Masculino,30,5.0
2016-0027,Pasajero_acompañante,Auto,Masculino,34,Sd
2016-0028,Peaton,Peaton,Masculino,50,0.0
2016-0029,Peaton,Peaton,Masculino,38,0.0
2016-0031,Conductor,Moto,Masculino,21,Sd
2016-0034,Peaton,Peaton,Masculino,52,0.0
2016-0035,Conductor,Moto,Masculino,34,0.0
2016-0036,Pasajero_acompañante,Moto,Masculino,36,0.0
2016-0037,Conductor,Moto,Masculino,20,0.0
2016-0038,Peaton,Peaton,Masculino,29,0.0
2016-0039,Conductor,Moto,Masculino,20,0.0
2016-0041,Conductor,Moto,Masculino,54,0.0
2016-0041,Pasajero_acompañante,Moto,Masculino,Sd,1.0
2016-0043,Peaton,Peaton,Femenino,56,0.0
2016-0044,Conductor,Moto,Masculino,24,0.0
2016-0045,Conductor,Moto,Masculino,Sd,Sd
2016-0047,Peaton,Peaton,Masculino,41,0.0
2016-0048,Peaton,Peaton,Femenino,Sd,Sd
2016-0049,Sd,Sd,Sd,Sd,Sd
2016-0050,Peaton,Peaton,Masculino,78,0.0
